AAVSO  (https://www.aavso.org/LCG)                                                                  
HJD                 BJD                  E        (O-C)(days)  Err         
2454272.5044574     2454272.505194       59917    0.00159      1.87919E-4  
2454306.4486804     2454306.449416       60160    0.00116      1.58901E-4  
2454313.4328018     2454313.433537       60210    7.816E-4     5.51972E-4  
2454651.4833144     2454651.484045       62630    0.00163      2.96343E-4  
2454670.481224      2454670.481955       62766    0.00171      6.50528E-4  
2454810.3110669     2454810.311797       63767    0.00193      5.52731E-4  
2455004.4795243     2455004.480268       65157    0.00138      2.66886E-4  
2455038.4237721     2455038.424516       65400    9.71999E-4   4.5317E-4   
2455052.39289       2455052.393634       65500    0.0011       8.37249E-4  
2455463.3617757     2455463.362528       68442    0.00219      4.93951E-4  
2455464.3397225     2455464.340475       68449    0.0023       1.06394E-4  
2455490.3214829     2455490.322236       68635    0.00174      6.67988E-4  
2455777.3847016     2455777.385464       70690    0.00214      4.48169E-4  
2455783.3910233     2455783.391785       70733    0.00179      2.22811E-4  
2455903.245666      2455903.246431       71591    0.00247      4.69568E-4  
2456131.4987418     2456131.499525       73225    0.0022       8.78905E-5  
2456149.5190825     2456149.519866       73354    0.00254      1.76134E-4  
2456150.4967647     2456150.497548       73361    0.00239      2.82375E-4  
2456215.313054      2456215.313839       73825    0.00255      1.29282E-4  
2456446.4999872     2456446.500775       75480    0.00264      2.19836E-4  
2456453.4846936     2456453.485482       75530    0.00285      1.35791E-4  
2456478.4889921     2456478.489781       75709    0.00265      2.39171E-4  
2457177.4976353     2457177.498418       80713    0.00282      3.5196E-4   
2457184.4816681     2457184.482451       80763    0.00236      1.5972E-4   
2457203.4798271     2457203.480609       80899    0.00268      2.57634E-4  
2457293.3010543     2457293.301846       81542    0.00329      2.85911E-4  
2457303.3579814     2457303.358773       81614    0.00254      1.47225E-4  
2457563.461568      2457563.462352       83476    0.00345      1.46133E-4  
2457587.4880383     2457587.488821       83648    0.00325      2.67567E-4  
2457590.4214345     2457590.422217       83669    0.00316      5.03605E-4  
2457960.4604194     2457960.461202       86318    0.00349      3.97767E-4  
2457971.4960018     2457971.496783       86397    0.00357      1.65296E-4  
2457978.4805946     2457978.481376       86447    0.00366      1.61631E-4  
2458294.4591586     2458294.45993        88709    0.00357      2.67502E-4  
2458295.4367561     2458295.437527       88716    0.00334      3.04627E-4  
2458314.4351911     2458314.435962       88852    0.00395      1.45962E-4  
2458655.4180458     2458655.418809       91293    0.00365      5.93648E-4  
2458665.4760451     2458665.476808       91365    0.00397      1.3415E-4   
2458666.4537572     2458666.45452        91372    0.00385      1.62193E-4  
2457236.5870761     2457236.587869       81136    0.00343      8.80529E-4  
